ParkingZone,OnStreet,StreetFrom,StreetTo,Segment_ID
7266,Nicholson Street,Albert Street,Victoria Street,21554
7301,Wellington Parade South,Jolimont Road,Wellington Crescent,21968
7355,Collins Street,Queen Street,Market Street,20116
7367,Commercial Road,St Kilda Road,Punt Road,22308
7376,Domain Road,Dallas Brooks Drive,Domain Street,22223
7377,Downie Street,Flinders Street,Flinders Lane,20431
7406,Exhibition Street,Little Lonsdale Street,La Trobe Street,20145
7428,Flinders Lane,Spring Street,Exhibition Street,20121
7441,Francis Street,King Street,Spencer Street,20433
7442,Cardigan Street,Queensberry Street,Argyle Place South,20506
7461,Elizabeth Street,A'Beckett Street,Franklin Street,21639
7528,Little Collins Street,Queen Street,William Street,20101
7529,Little Collins Street,Exhibition Street,Russell Street,20093
7538,Little Bourke Street,Spring Street,Exhibition Street,20049
7547,Little Lonsdale Street,William Street,King Street,20046
7541,Little Lonsdale Street,Spring Street,Exhibition Street,20034
7549,Little Lonsdale Street,Russell Street,Swanston Street,20038
7561,Little Lonsdale Street,Spring Street,Exhibition Street,20034
7580,MacKenzie Street,Victoria Street,Russell Street,21609
7587,Moubray Street,St Kilda Road,Punt Road,22311
7588,O'Connell Street,Queensberry Street,Peel Street,21116
7578,Lonsdale Street,William Street,King Street,20013
7604,Queen Street,La Trobe Street,A'Beckett Street,21523
7600,Queen Street,A'Beckett Street,Franklin Street,21636
7615,Queen Street,Little Lonsdale Street,La Trobe Street,20177
7638,Russell Street,Little Collins Street,Bourke Street,20149
7643,Spencer Street,Flinders Street,Flinders Lane,20067
7652,St Kilda Road,Coventry Street,Dorcas Street,22092
7654,St Kilda Road,Slater Street,Armadale Street,22474
7658,St Kilda Road,Slater Street,Armadale Street,22474
7677,Therry Street,Victoria Street,Elizabeth Street,21626
7713,Capel Street,Courtney Street,Bedford Street,21118
7730,Harcourt Street,Courtney Street,Flemington Road,21180
7728,Flemington Road,Villiers Street,Harcourt Street,21182
7752,Victoria Street,Capel Street,Howard Street,20951
7799,Royal Parade,Bayles Street,Degraves Street,22605
7802,Swanston Street,Elgin Street,College Crescent,20494
7804,The Avenue,Ievers Street,The Avenue,22385
7821,City Road,Kings Way,Clarke Street,22040
7815,City Road,Power Street,Balston Street,22050
7824,City Road,Southgate Avenue,Sturt Street,22066
7825,Clarke Street,Haig Street,City Road,22019
7827,Coventry Street,St Kilda Road,Wells Street,22103
7831,Coventry Street,Dodds Street,Sturt Street,22117
7826,Coventry Street,Wells Street,Dodds Street,22112
7854,Kavanagh Street,Southbank Boulevard,Power Street,22077
7882,St Kilda Road,Grant Street,Wadey Street,22700
7880,Southgate Avenue,City Road,Riverside Avenue,22187
7887,St Kilda Road,St Kilda Road,Anzac Avenue,22703
7892,Sturt Street,Miles Street,Coventry Street,22118
7908,Whiteman Street,Westgate Freeway,Clarendon Street,22008
7947,La Trobe Street,King Street,Spencer Street,20030
7950,Railway Place,Hawke Street,Abbotsford Street,21547
7956,Rosslyn Street,Railway Place,Adderley Street,21490
7003,Barry Street,Leicester Street,Pelham Street,20476
7015,Bouverie Street,Pelham Street,Lincoln Square North,22504
7018,Bouverie Street,Lincoln Square South,Pelham Street,22503
7048,Grattan Street,Lygon Street,Cardigan Street,20757
7062,Lincoln Square South,Swanston Street,Bouverie Street,20838
7083,Pelham Street,Berkeley Street,Barry Street,20477
7097,Queensberry Street,Drummond Street,Lygon Street,22498
7109,Queensberry Street,Swanston Street,Bouverie Street,20829
7146,Lygon Street,Princes Street,MacPherson Street,22508
7229,Village Street,Collins Street,McCrae Street,22894
7236,Albert Street,Morrison Place,Lansdowne Street,20891
7258,Lansdowne Street,Cathedral Place,Albert Street,21850
7260,Lansdowne Street,Albert Street,Victoria Parade,20896
7284,Victoria Parade,Nicholson Street,Gisborne Street,21560
7300,Wellington Parade South,Wellington Crescent,Flinders Street,22630
7330,PT5354,Boathouse Drive,,22883
7001,Argyle Place North,Lygon Street,Cardigan Street,20752
7015,Bouverie Street,Lincoln Square South,Pelham Street,22503
7027,Bouverie Street,Victoria Street,Queensberry Street,20462
7041,Cardigan Street,Queensberry Street,Argyle Place South,20506
7056,Leicester Street,Queensberry Street,Pelham Street,20458
7087,Pelham Street,Cardigan Street,Swanston Street,20806
7092,Pelham Street,Rathdowne Street,Drummond Street,21556
7114,Rathdowne Street,Pelham Street,Grattan Street,20558
7147,Lygon Street,Princes Street,MacPherson Street,22508
7149,Princes Park Drive,Cemetery Road West,MacPherson Street,22512
7142,Cemetery Road East,College Crescent,Lygon Street,20773
7153,Royal Parade,Royal Parade,Leonard Street,22433
7192,Docklands Drive,Pearl River Road,Docklands Drive,23256
7193,Doepel Way,Docklands Drive,Newquay Promenade,22855
7208,Karlsruhe Lane,Collins Street,Keera Way,23246
7217,Pearl River Road,Docklands Drive,Victoria Harbour,22908
7225,Spencer Street,Lonsdale Street,Little Lonsdale Street,20077
7226,Saint Mangos Lane North,Docklands Drive,,23267
7233,Wattle Road,Docklands Drive,Newquay Promenade,23274
7264,Lansdowne Street,Wellington Parade,St Andrews Place,21859
7310,A'Beckett Street,Wills Street,Queen Street,21524
7331,Bond Street,Flinders Street,Flinders Lane,20394
7337,Bourke Street,Elizabeth Street,Queen Street,20084
7359,Collins Street,Russell Street,Swanston Street,20110
7371,Domain Road,Domain Street,Hope Street,22225
7391,Elizabeth Street,Lonsdale Street,Little Lonsdale Street,20168
7402,Exhibition Street,Flinders Lane,Collins Street,20139
7411,Exhibition Street,Bourke Street,Little Bourke Street,20142
7412,Flinders Lane,Exhibition Street,Russell Street,20123
7415,Flinders Lane,Elizabeth Street,Queen Street,20129
7416,Flinders Lane,Elizabeth Street,Queen Street,20129
7418,Flinders Lane,King Street,Spencer Street,20137
7450,Flinders Lane,Swanston Street,Elizabeth Street,20127
7458,Flinders Lane,Queen Street,Market Street,20131
7479,King Street,Flinders Street,Flinders Lane,20188
7486,King Street,Little Collins Street,Bourke Street,20191
7487,King Street,Collins Street,Little Collins Street,20190
7493,La Trobe Street,Elizabeth Street,Queen Street,20024
7502,La Trobe Street,Russell Street,Swanston Street,20020
7517,Little Bourke Street,King Street,Spencer Street,20063
7533,Little Collins Street,Spring Street,Exhibition Street,20091
7544,Little Lonsdale Street,Elizabeth Street,Queen Street,20042
7552,Little Lonsdale Street,William Street,King Street,20046
7612,Queen Street,Little Bourke Street,Lonsdale Street,20175
7631,Russell Street,Flinders Street,Flinders Lane,20146
7645,Spring Street,Collins Street,Little Collins Street,20200
7646,Spencer Street,Little Collins Street,Bourke Street,20073
7672,Spring Street,Lonsdale Street,Little Lonsdale Street,21848
7681,Victoria Street,Drummond Street,Lygon Street,21603
7679,Victoria Street,Elizabeth Street,O'Connell Street,22670
7695,William Street,Flinders Lane,Collins Street,20181
7724,Curzon Street,Elm Street,Queensberry Street,20998
7732,Cobden Street,Princess Street,Queensberry Street,20939
7739,Leveson Street,Victoria Street,Queensberry Street,20980
7781,Flemington Road,Melrose Street,Dryburgh Street,22425
7805,The Avenue,Leonard Street,Walker Street,22380
7809,Walker Street,Royal Parade,The Avenue,22382
7818,City Road,Balston Street,Kings Way,22048
7822,City Road,Southgate Avenue,Southbank Boulevard,22063
7829,Coventry Street,Dodds Street,Sturt Street,22117
7851,Kavanagh Street,Power Street,Balston Street,22051
7852,Kavanagh Street,Balston Street,Kings Way,22045
7856,Kavanagh Street,Sturt Street,Southbank Boulevard,22070
7862,Miles Street,Wells Street,Dodds Street,22107
7867,Moore Street,Southbank Boulevard,Southern Link Road,22078
7878,Wells Street,Miles Street,Coventry Street,22105
7886,St Kilda Road,Southbank Boulevard,Grant Street,22466
7906,Wadey Street,St Kilda Road,Wells Street,22090
7927,Dudley Street,King Street,Spencer Street,21413
7938,Jeffcott Street,Spencer Street,King Street,21514
7950,Railway Place,Railway Place,Hawke Street,21546
7966,Howard Street,Rosslyn Street,William Street,21382
7982,Victoria Street,Leveson Street,Errol Street,20983
7985,Walsh Street,Milton Street,King Street,21405
7987,William Street,Dudley Street,Walsh Street,21404
7993,William Street,Capel Street,Rosslyn Street,21385
7993,William Street,Rosslyn Street,Victoria Street,21384
7996,William Street,Capel Street,Rosslyn Street,21385
7028,Cardigan Street,Argyle Place North,Grattan Street,20512
7047,Grattan Street,Cardigan Street,Swanston Street,22506
7104,Queensberry Street,Lygon Street,Cardigan Street,22499
7151,Royal Parade,MacArthur Road,Leonard Street,22434
7154,Adderley Street,La Trobe Street,Jeffcott Street,21504
7156,Aquitania Way,Caravel Lane,Newquay Promenade,22787
7173,Bourke Street,Harbour Esplanade,Enterprize Way,22801
7194,Enterprize Way,Bourke Street,,22898
7220,Pearl River Road,Footscray Road,Docklands Drive,23224
7227,Village Street,Bourke Street,Collins Street,22941
7262,Lansdowne Street,Wellington Parade,St Andrews Place,21859
7296,Victoria Parade,Eades Street,Lansdowne Street,21595
7328,Birdwood Avenue,Dallas Brooks Drive,Domain Road,22706
7358,Collins Street,Exhibition Street,Russell Street,20108
7366,Collins Street,Spring Street,Exhibition Street,20106
7371,Domain Road,Domain Road,Domain Street,22224
7376,Domain Road,St Kilda Road,Dallas Brooks Drive,22708
7390,Elizabeth Street,Little La Trobe Street,A'Beckett Street,22651
7399,Exhibition Street,Collins Street,Little Collins Street,20140
7444,Francis Street,King Street,Spencer Street,20433
7536,Little Collins Street,Exhibition Street,Russell Street,20093
7539,Little Lonsdale Street,Elizabeth Street,Queen Street,20042
7562,Lonsdale Street,Queen Street,William Street,20011
7582,Market Street,Flinders Lane,Collins Street,20180
7597,Queen Street,Flinders Street,Flinders Lane,20170
7606,Queen Street,Little Bourke Street,Lonsdale Street,20175
7607,Queen Street,Little Collins Street,Bourke Street,20173
7625,Russell Street,Bourke Street,Little Bourke Street,20150
7714,Capel Street,Victoria Street,Queensberry Street,20945
7787,Grattan Street,Swanston Street,Bouverie Street,20847
7797,Royal Parade,Grattan Street,Story Street,22514
7869,Moray Street,Hancock Street,Westgate Freeway,22036
7887,St Kilda Road,Anzac Avenue,Coventry Street,22704
7948,La Trobe Street,William Street,King Street,20028
7990,William Street,A'Beckett Street,Franklin Street,21529
7004,Argyle Place South,Lygon Street,Cardigan Street,20751
7018,Bouverie Street,Pelham Street,Lincoln Square North,22504
7044,Cemetery Road East,College Crescent,Lygon Street,20773
7072,Lygon Street,Argyle Place North,Grattan Street,20530
7101,Queensberry Street,Bouverie Street,Leicester Street,20868
7121,Swanston Street,Queensberry Street,Lincoln Square South,20484
7154,Adderley Street,Jeffcott Street,Batman Street,21503
7159,Aurora Lane,Bourke Street,Collins Street,22822
7237,Albert Street,Clarendon Street,Eades Street,20898
7250,Clarendon Street,Grey Street,Albert Street,21860
7273,Spring Street,Little Lonsdale Street,Victoria Parade,21847
7275,Spring Street,Little Lonsdale Street,Victoria Parade,21847
7290,Victoria Parade,Clarendon Street,Eades Street,21594
7330,Boathouse Drive,St Kilda Road,Alexandra Avenue,22188
7333,Bourke Street,Elizabeth Street,Queen Street,20084
7345,Bourke Street,Russell Street,Swanston Street,20080
7370,Domain Road,Dallas Brooks Drive,Domain Street,22223
7386,Elizabeth Street,Flemington Road,Grattan Street,21551
7394,Elizabeth Street,Victoria Street,Queensberry Street,21113
7395,Exhibition Street,Bourke Street,Little Bourke Street,20142
7433,Flinders Street,King Street,Spencer Street,20224
7469,High Street,St Kilda Road,Punt Road,22479
7518,Little Bourke Street,William Street,King Street,20061
7584,Moubray Street,St Kilda Road,Punt Road,22311
7605,Queen Street,Little Bourke Street,Lonsdale Street,20175
7636,Russell Street,Flinders Lane,Collins Street,20147
7648,Spring Street,Flinders Street,Flinders Lane,20196
7663,St Kilda Road,Southbank Boulevard,Grant Street,22466
7670,St Kilda Road,Bromby Street,Toorak Road,22470
7682,Victoria Street,La Trobe Street,Rathdowne Street,21599
7712,Capel Street,Victoria Street,Queensberry Street,20945
7736,Leveson Street,Queensberry Street,Arden Street,21096
7740,Leveson Street,Victoria Street,Queensberry Street,20980
7776,Royal Parade,Royal Parade,Degraves Street,22606
7797,Royal Parade,Royal Parade,Story Street,22513
7819,City Road,Power Street,Balston Street,22050
7835,Dodds Street,Miles Street,Coventry Street,22110
7889,Sturt Street,Southbank Boulevard,Grant Street,22121
7923,Capel Street,William Street,Victoria Street,21392
7928,Dudley Street,King Street,Spencer Street,21413
7940,King Street,La Trobe Street,Jeffcott Street,21507
7943,King Street,La Trobe Street,Jeffcott Street,21507
7974,Batman Street,Spencer Street,King Street,21516
7986,William Street,Dudley Street,Walsh Street,21404
7972,Spencer Street,Batman Street,Dudley Street,21486
7015,Bouverie Street,Lincoln Square North,Grattan Street,20468
7196,Fishplate Lane,Batmans Hill Drive,Village Street,22942
7232,Waterfront Way,Footscray Road,Docklands Drive,23225
7244,Albert Street,Nicholson Street,Gisborne Street,20889
7246,Albert Street,Simpson Street,Powlett Street,21580
7270,Powlett Street,Gipps Street,Grey Street,21884
7300,Wellington Parade South,Wellington Parade South,Wellington Crescent,22629
7301,Wellington Parade South,Wellington Crescent,Flinders Street,22630
7334,Bourke Street,Exhibition Street,Russell Street,20078
7350,Church Street,Bourke Street,Little Collins Street,20416
7360,Collins Street,Spring Street,Exhibition Street,20106
7363,Collins Street,Exhibition Street,Russell Street,20108
7375,Domain Road,Dallas Brooks Drive,Domain Street,22223
7380,Elizabeth Street,Little Collins Street,Bourke Street,20165
7385,Elizabeth Street,A'Beckett Street,Franklin Street,21639
7400,Exhibition Street,Collins Street,Little Collins Street,20140
7401,Exhibition Street,Flinders Lane,Collins Street,20139
7423,Flinders Lane,Spring Street,Exhibition Street,20121
7437,Flinders Street,King Street,Spencer Street,20224
7454,Flinders Street,Spring Street,Exhibition Street,20208
7492,La Trobe Street,Elizabeth Street,Queen Street,20024
7522,Little Bourke Street,Queen Street,William Street,20059
7555,Little Lonsdale Street,King Street,Spencer Street,20048
7559,Little Bourke Street,Spring Street,Exhibition Street,20049
7575,Lonsdale Street,William Street,King Street,20013
7595,Queen Street,Collins Street,Little Collins Street,20172
7602,Queen Street,Franklin Street,Therry Street,21630
