ParkingZone,OnStreet,StreetFrom,StreetTo,Segment_ID
7505,Little Bourke Street,Russell Street,Swanston Street,20053
7509,La Trobe Street,Victoria Street,Exhibition Street,20016
7534,Little Collins Street,William Street,King Street,20103
7521,Little Bourke Street,William Street,King Street,20061
7560,Little Lonsdale Street,Exhibition Street,Russell Street,20036
7592,Queen Street,Flinders Street,Flinders Lane,20170
7610,Queen Street,Lonsdale Street,Little Lonsdale Street,20176
7627,Russell Street,Little Lonsdale Street,La Trobe Street,20153
7642,Spencer Street,Bourke Street,Little Bourke Street,20075
7644,Spencer Street,Little Collins Street,Bourke Street,20073
7650,St Kilda Road,Yarra River,Southbank Boulevard,22087
7668,St Kilda Road,Toorak Road,Slater Street,22472
7692,William Street,Flinders Lane,Collins Street,20181
7729,Harcourt Street,Courtney Street,Flemington Road,21180
7731,Howard Street,Victoria Street,Queensberry Street,20956
7756,Villiers Street,Flemington Road,Courtney Street,21141
7782,Flemington Road,Racecourse Road,Melrose Street,22590
7785,Flemington Road,Harcourt Street,Murphy Street,22690
7808,The Avenue,Walker Street,Ievers Street,22388
7804,The Avenue,Walker Street,Ievers Street,22388
7817,City Road,Clarke Street,Clarendon Street,22020
7823,City Road,Southgate Avenue,Sturt Street,22066
7842,Dorcas Street,Dodds Street,Kings Way,22460
7845,Dorcas Street,Wells Street,Dodds Street,22096
7873,Riverside Quay,Southbank Boulevard,Cook Street,22567
7884,St Kilda Road,Coventry Street,Dorcas Street,22092
7909,Alexandra Avenue,Anderson Street,Walsh Street,22278
7929,Dudley Street,King Street,Spencer Street,21413
7937,Jeffcott Street,Spencer Street,King Street,21514
7010,Berkeley Street,Leicester Street,Queensberry Street,20456
7014,Bouverie Street,Lincoln Square North,Grattan Street,20468
7019,Bouverie Street,Victoria Street,Queensberry Street,20462
7020,Bouverie Street,Queensberry Street,Lincoln Square South,20464
7033,Cardigan Street,Argyle Place South,Pelham Street,20508
7057,Leicester Street,Queensberry Street,Pelham Street,20458
7061,Lincoln Square North,Swanston Street,Bouverie Street,20839
7076,Lygon Street,Victoria Street,Queensberry Street,20522
7077,Lytton Street,Lygon Street,Cardigan Street,20771
7123,Swanston Street,Queensberry Street,Lincoln Square South,20484
7127,Victoria Street,Drummond Street,Lygon Street,21603
7002,Barry Street,Leicester Street,Pelham Street,20476
7020,Bouverie Street,Lincoln Square South,Pelham Street,22503
7025,Bouverie Street,Victoria Street,Queensberry Street,20462
7033,Cardigan Street,Cardigan Street,Pelham Street,20510
7033,Cardigan Street,Pelham Street,Argyle Place North,20509
7084,Pelham Street,Bouverie Street,Leicester Street,20873
7085,Pelham Street,Drummond Street,Lygon Street,21557
7103,Queensberry Street,Bouverie Street,Leicester Street,20868
7107,Queensberry Street,Rathdowne Street,Drummond Street,22497
7112,Rathdowne Street,Pelham Street,Grattan Street,20558
7137,Bowen Crescent,Garton Street,Park Street,22396
7183,Collins Street,Spencer Street,Batmans Hill Drive,22819
7221,Point Park Crescent,Lorimer Street,South Wharf Drive,22951
7256,Lansdowne Street,St Andrews Place,Cathedral Place,21857
7271,Simpson Street,Grey Street,Albert Street,21867
7317,Alexandra Avenue,Swan Street Bridge,Anderson Street,22492
7323,Birdwood Avenue,Dallas Brooks Drive,Domain Road,22706
7336,Bourke Street,William Street,King Street,20088
7374,Collins Street,William Street,King Street,20118
7388,Elizabeth Street,La Trobe Street,Little La Trobe Street,21647
7446,Flinders Lane,Exhibition Street,Russell Street,20123
7481,King Street,Little Bourke Street,Lonsdale Street,20193
7498,La Trobe Street,King Street,Spencer Street,20030
7500,La Trobe Street,Wills Street,William Street,22615
7531,Little Collins Street,King Street,Spencer Street,20105
7553,Lonsdale Street,Elizabeth Street,Queen Street,20009
7581,Moubray Street,St Kilda Road,Punt Road,22311
7609,Queen Street,Little Lonsdale Street,La Trobe Street,20177
7611,Queen Street,Lonsdale Street,Little Lonsdale Street,20176
7626,Russell Street,Bourke Street,Little Bourke Street,20150
7766,Wreckyn Street,Flemington Road,Courtney Street,21124
7790,Leonard Street,Royal Parade,The Avenue,22378
7813,Balston Street,City Road,Kavanagh Street,22046
7812,City Road,Kings Way,Clarke Street,22040
7820,City Road,Kings Way,Clarke Street,22040
7836,Dodds Street,Miles Street,Coventry Street,22110
7843,Dorcas Street,St Kilda Road,Wells Street,22094
7863,Moore Street,Miles Street,Kings Way,22461
7871,Queens Bridge Street,Power Street,Kings Way,22182
7881,Wells Street,Miles Street,Coventry Street,22105
7905,Whiteman Street,Westgate Freeway,Clarendon Street,22008
7910,Commercial Road,St Kilda Road,Punt Road,22308
7932,Dudley Street,Milton Street,King Street,21411
7939,King Street,Batman Street,Dudley Street,21518
7009,Berkeley Street,Pelham Street,Grattan Street,20474
7023,Leicester Street,Victoria Street,Berkeley Street,20453
7050,Leicester Street,Berkeley Street,Queensberry Street,20455
7079,MacArthur Place South,Canning Street,Rathdowne Street,20671
7100,Queensberry Street,Drummond Street,Lygon Street,22498
7213,Merchant Street,Bourke Street,Collins Street,23151
7234,Albert Street,Clarendon Street,Eades Street,20898
7250,Clarendon Street,Gipps Street,Grey Street,22622
7263,Lansdowne Street,Wellington Parade,St Andrews Place,21859
7270,Powlett Street,Grey Street,Albert Street,21863
7278,St Andrews Place,Lansdowne Street,MacArthur Street,21855
7280,St Andrews Place,Lansdowne Street,MacArthur Street,21855
7289,Victoria Parade,Eades Street,Lansdowne Street,21595
7304,Wellington Parade,Clarendon Street,Jolimont Road,21963
7310,A'Beckett Street,Wills Street,William Street,22653
7307,A'Beckett Street,Elizabeth Street,Queen Street,21649
7343,Bourke Street,Spring Street,Exhibition Street,20065
7352,Collins Street,King Street,Spencer Street,20120
7368,Downie Street,Flinders Street,Flinders Lane,20431
7392,Elizabeth Street,Queensberry Street,Pelham Street,21115
7417,Flinders Lane,King Street,Spencer Street,20137
7452,Flinders Street,Russell Street,Swanston Street,20212
7494,La Trobe Street,Swanston Street,Elizabeth Street,20022
7500,La Trobe Street,Queen Street,Wills Street,20026
7543,Little Lonsdale Street,King Street,Spencer Street,20048
7558,Lonsdale Street,Exhibition Street,Russell Street,20003
7563,Little Lonsdale Street,Spring Street,Exhibition Street,20034
7566,Lonsdale Street,Queen Street,William Street,20011
7567,Lonsdale Street,Queen Street,William Street,20011
7568,Lonsdale Street,Exhibition Street,Russell Street,20003
7569,Lonsdale Street,Russell Street,Swanston Street,20005
7572,Lonsdale Street,Spring Street,Exhibition Street,20001
7570,Lonsdale Street,Spring Street,Exhibition Street,20001
7574,Lonsdale Street,William Street,King Street,20013
7589,Pelham Street,Berkeley Street,Elizabeth Street,22502
7618,Queen Street,Therry Street,Victoria Street,23247
7624,King Street,Little Lonsdale Street,La Trobe Street,20195
7633,Russell Street,Little Bourke Street,Lonsdale Street,20151
7635,Russell Street,Little Lonsdale Street,La Trobe Street,20153
7659,Spring Street,Flinders Lane,Collins Street,20198
7698,William Street,La Trobe Street,A'Beckett Street,21519
7718,Peel Street,Queensberry Street,Elizabeth Street,21117
7723,Curzon Street,Elm Street,Queensberry Street,20998
7748,Queensberry Street,Leveson Street,Errol Street,20990
7789,Ievers Street,Royal Parade,The Avenue,22384
7814,Balston Street,Kavanagh Street,Southern Link Road,22053
7834,Dodds Street,Coventry Street,Dorcas Street,22113
7860,Miles Street,Dodds Street,Sturt Street,22108
7870,Grant Street,Wells Street,Dodds Street,22824
7893,Sturt Street,Sturt Street,Grant Street,22877
7893,Sturt Street,Grant Street,Miles Street,22767
7925,Dudley Street,Adderley Street,Spencer Street,21483
7936,Jeffcott Street,Adderley Street,Spencer Street,21501
7942,King Street,Jeffcott Street,Batman Street,21515
7973,Stanley Street,King Street,Spencer Street,21429
7988,William Street,Rosslyn Street,Victoria Street,21384
7008,Berkeley Street,Queensberry Street,Pelham Street,20472
7031,Cardigan Street,Argyle Place South,Pelham Street,20508
7050,Leicester Street,Victoria Street,Berkeley Street,20453
7102,Queensberry Street,Bouverie Street,Leicester Street,20868
7105,Queensberry Street,Elizabeth Street,O'Connell Street,20923
7138,Bowen Crescent,Garton Street,Park Street,22396
7145,Princes Park Drive,Cemetery Road West,MacPherson Street,22512
7161,Aurora Lane,Collins Street,Wurundjeri Way,22899
7163,Batmans Hill Drive,Bourke Street,Collins Street,22802
7165,Bourke Street,Wurundjeri Way,Harbour Esplanade,22553
7189,Collins Street,Swanston Street,Elizabeth Street,20112
7212,Merchant Street,Bourke Street,Victoria Harbour Promenade,22915
7230,Village Street,Collins Street,McCrae Street,22894
7240,La Trobe Street,Wurundjeri Way,Harbour Esplanade,22549
7243,Clarendon Street,Grey Street,Albert Street,21860
7254,Gisborne Street,Gisborne Street,Cathedral Place,21853
7253,Gisborne Street,Cathedral Place,Albert Street,21849
7258,Lansdowne Street,Lansdowne Street,Cathedral Place,22491
7297,Victoria Parade,Nicholson Street,Spring Street,21596
7305,Wellington Parade South,Jolimont Terrace,Charles Street,22634
7320,Bourke Street,Exhibition Street,Russell Street,20078
7348,Bromby Street,Adams Street,Arnold Street,22201
7356,Collins Street,Russell Street,Swanston Street,20110
7362,Collins Street,William Street,King Street,20118
7372,Domain Road,St Kilda Road,Dallas Brooks Drive,22708
7384,Elizabeth Street,A'Beckett Street,Franklin Street,21639
7388,Elizabeth Street,Little La Trobe Street,A'Beckett Street,22651
7396,Exhibition Street,Bourke Street,Little Bourke Street,20142
7436,Flinders Street,Exhibition Street,Russell Street,20210
7448,Franklin Street,Elizabeth Street,Queen Street,21634
7465,Franklin Street,Queen Street,William Street,21527
7445,Francis Street,King Street,Spencer Street,20433
7455,Flinders Lane,Market Street,William Street,20133
7457,Flinders Lane,Market Street,William Street,20133
7515,Little Bourke Street,Elizabeth Street,Queen Street,20057
7523,Little Collins Street,Elizabeth Street,Queen Street,20099
7551,Lonsdale Street,Elizabeth Street,Queen Street,20009
7537,Little Collins Street,King Street,Spencer Street,20105
7546,Little Lonsdale Street,Elizabeth Street,Queen Street,20042
7557,Lonsdale Street,Russell Street,Swanston Street,20005
7571,Lonsdale Street,William Street,King Street,20013
7601,Queen Street,Franklin Street,Therry Street,21630
7608,Queen Street,Little Collins Street,Bourke Street,20173
7630,Russell Street,Flinders Street,Flinders Lane,20146
7639,Russell Street,Lonsdale Street,Little Lonsdale Street,20152
7640,Russell Street,Lonsdale Street,Little Lonsdale Street,20152
7643,Spencer Street,Flinders Lane,Collins Street,20069
7647,Spring Street,Little Bourke Street,Lonsdale Street,20206
7653,St Kilda Road,Armadale Street,Commercial Road,22476
7662,St Kilda Road,Moubray Street,High Street,22478
7660,Spring Street,Collins Street,Little Collins Street,20200
7674,Russell Street,Collins Street,Little Collins Street,20148
7678,Victoria Street,Bouverie Street,Elizabeth Street,21625
7716,Cobden Street,Victoria Street,Princess Street,20931
7721,Cobden Street,Princess Street,Queensberry Street,20939
7746,Queensberry Street,Capel Street,Howard Street,20950
7757,Villiers Street,Flemington Road,Courtney Street,21141
7761,Wreckyn Street,Flemington Road,Courtney Street,21124
7781,Flemington Road,Brougham Street,Curran Street,21251
7800,Royal Parade,Grattan Street,Story Street,22514
7806,The Avenue,Leonard Street,MacArthur Road,22436
7828,Coventry Street,St Kilda Road,Wells Street,22103
7833,Coventry Street,Wells Street,Dodds Street,22112
7837,Dodds Street,Miles Street,Grant Street,22462
7849,Haig Street,Clarendon Street,Westgate Freeway,22010
7855,Kavanagh Street,Sturt Street,Southbank Boulevard,22070
7876,St Kilda Road,Grant Street,Wadey Street,22700
7868,Queens Bridge Street,Power Street,Kings Way,22182
7896,Sturt Street,Miles Street,Coventry Street,22118
7900,Wells Street,Coventry Street,Dorcas Street,22098
7941,King Street,Jeffcott Street,Batman Street,21515
7970,Spencer Street,La Trobe Street,Jeffcott Street,21506
7981,Victoria Street,Leveson Street,Errol Street,20983
7992,William Street,Rosslyn Street,Victoria Street,21384
7086,Pelham Street,Cardigan Street,Swanston Street,20806
7126,Victoria Street,Lygon Street,Cardigan Street,21605
7153,Royal Parade,Leonard Street,Walker Street,22435
7133,Victoria Street,Rathdowne Street,Drummond Street,21601
7158,Augusta Avenue,Pearl River Road,Wattle Road,23275
7170,Bourke Street,Enterprize Way,Cumberland Street,22913
7185,Collins Street,Navigation Drive,Merchant Street,22956
7188,Collins Street,Bourke Street,Sailmaker Way,23314
7203,Harbour Esplanade,McCrae Street,Collins Street,22954
7206,Franklin Street,Elizabeth Street,Queen Street,21634
7210,Little Docklands Drive,Footscray Road,Waterfront Way,23226
7218,Spencer Street,Flinders Street,Flinders Lane,20067
7222,Seafarer Lane,Bourke Street,Collins Street,23063
7223,Siddeley Street,Spencer Street,Wurundjeri Way,22445
7228,Village Street,Bourke Street,Collins Street,22941
7235,Albert Street,Clarendon Street,Eades Street,20898
7254,Gisborne Street,Cathedral Place,Albert Street,21849
7265,Nicholson Street,Spring Street,Albert Street,21553
7325,Birdwood Avenue,Dallas Brooks Drive,Anzac Avenue,22198
7322,Birdwood Avenue,Dallas Brooks Drive,Anzac Avenue,22198
7329,Bond Street,Flinders Street,Flinders Lane,20394
7333,Little Collins Street,Elizabeth Street,Queen Street,20099
7338,Bourke Street,Queen Street,William Street,20086
7344,Collins Street,Queen Street,Market Street,20116
7348,Bromby Street,Arnold Street,St Kilda Road,22199
7348,Bromby Street,Domain Street,Adams Street,22203
7353,Collins Street,William Street,King Street,20118
7369,Dallas Brooks Drive,Domain Road,Birdwood Avenue,22469
7413,Exhibition Street,Little Collins Street,Bourke Street,20141
7438,Flinders Street,King Street,Spencer Street,20224
7449,Franklin Street,Elizabeth Street,Queen Street,21634
7459,Flinders Lane,Queen Street,Market Street,20131
7443,Cardigan Street,Queensberry Street,Argyle Place South,20506
7496,La Trobe Street,Exhibition Street,Russell Street,20018
7507,Little Collins Street,Russell Street,Swanston Street,20095
7513,Little Bourke Street,King Street,Spencer Street,20063
7519,Little Bourke Street,Queen Street,William Street,20059
7527,Little Collins Street,Queen Street,William Street,20101
7556,Lonsdale Street,Exhibition Street,Russell Street,20003
7546,Little Lonsdale Street,Queen Street,William Street,20044
7573,Lonsdale Street,William Street,King Street,20013
7585,Moubray Street,St Kilda Road,Punt Road,22311
7586,Moubray Street,St Kilda Road,Punt Road,22311
7628,Russell Street,Collins Street,Little Collins Street,20148
7629,Russell Street,Flinders Street,Flinders Lane,20146
7655,St Kilda Road,Commercial Road,Moubray Street,22477
7667,St Kilda Road,Toorak Road,Slater Street,22472
7700,William Street,Little Bourke Street,Lonsdale Street,20185
7709,Blackwood Street,Flemington Road,Courtney Street,21122
7706,Wills Street,La Trobe Street,A'Beckett Street,21521
7720,Harcourt Street,Courtney Street,Flemington Road,21180
7725,Errol Street,Victoria Street,Queensberry Street,20992
7727,Flemington Road,Elizabeth Street,Blackwood Street,22686
7734,Leveson Street,Queensberry Street,Arden Street,21096
7747,Queensberry Street,Cobden Street,Peel Street,20925
7775,Cemetery Road West,Royal Parade,College Crescent,22375
7751,Queensberry Street,Elizabeth Street,O'Connell Street,20923
7778,College Crescent,Swanston Street,Princes Park Drive,22373
7781,Flemington Road,Flemington Road,Dryburgh Street,20920
7797,Royal Parade,Morrah Street,Story Street,22608
7799,Royal Parade,Bayles Street,Morrah Street,22363
7801,City Road,Clarke Street,Clarendon Street,22020
7816,City Road,Southgate Avenue,Southbank Boulevard,22063
7844,Dodds Street,Miles Street,Grant Street,22462
7847,Grant Street,Dodds Street,Sturt Street,22826
7848,Haig Street,Clarendon Street,Westgate Freeway,22010
7850,Haig Street,Clarendon Street,Clarke Street,22018
7853,Fawkner Street,Southbank Boulevard,Fanning Street,22069
7859,Miles Street,Sturt Street,Moore Street,22120
7879,Lorimer Street,Westgate Freeway,Hartley Street,22126
7885,St Kilda Road,Grant Street,Wadey Street,22700
7894,Sturt Street,Grant Street,Miles Street,22767
7907,Whiteman Street,Westgate Freeway,Clarendon Street,22008
7912,Toorak Road,Millswyn Street,Park Street,22215
7913,Adderley Street,Jeffcott Street,Batman Street,21503
7916,Adderley Street,La Trobe Street,Jeffcott Street,21504
7927,Lonsdale Street,Exhibition Street,Russell Street,20003
7950,Railway Place,Roden Street,Hawke Street,21545
7963,Rosslyn Street,Howard Street,King Street,21388
7950,Railway Place,Stanley Street,Roden Street,21543
7968,Spencer Street,La Trobe Street,Jeffcott Street,21506
7975,Stanley Street,King Street,Spencer Street,21429
7995,William Street,Capel Street,Rosslyn Street,21385
